id;country_en;city_en;lat;lng;population
339;Brazil;Mossoro;-5.1841285;-37.3477805;202005
340;Brazil;Marechal Deodoro;-9.710143;-35.897056;50571
341;Brazil;Maracanau;-3.8674127;-38.6261113;193529
342;Brazil;Maraba;-5.3811357;-49.1331024;145860
343;Brazil;Maceio;-9.6498487;-35.7089492;954991
344;Brazil;Macapa;0.0355735;-51.070535;338936
345;Brazil;Juazeiro do Norte;-7.2290365;-39.3124461;225230
346;Brazil;Joao Pessoa;-7.1194958;-34.8450118;650883
347;Brazil;Itacoatiara;-3.135021;-58.438544;64937
348;Brazil;Itapipoca;-3.499706;-39.5839241;55784
349;Brazil;Itaituba;-4.2670701;-55.9931173;64756
350;Brazil;Ipojuca;-8.398109;-35.0609851;53364
351;Brazil;Imperatriz;-5.5205508;-47.4718408;218106
352;Brazil;Iguatu;-6.3587958;-39.298059;70380
353;Brazil;Igarassu;-7.8292242;-34.9016204;86457
354;Brazil;Horizonte;-4.1032838;-38.4955043;51171
355;Brazil;Gravata;-8.2116007;-35.5677787;61249
356;Brazil;Garanhuns;-8.8828551;-36.4968966;110085
357;Brazil;Fortaleza;-3.7318616;-38.5266704;2400000
358;Brazil;Crato;-7.2299572;-39.4122984;88786
359;Brazil;Crateus;-5.178204;-40.6695522;52933
360;Brazil;Codo;-4.4605557;-43.88945;83288
361;Brazil;Caxias;-4.8654387;-43.3621342;148072
362;Brazil;Caucaia;-3.7281443;-38.6619214;275019
363;Brazil;Castanhal;-1.2983288;-47.9171616;137406
364;Brazil;Cascavel;-4.13306;-38.24194;52357
365;Brazil;Caruaru;-8.2849639;-35.9701874;235371
366;Brazil;Carpina;-7.8460741;-35.2517146;70689
367;Brazil;Campina Grande;-7.2290752;-35.8808337;348936
368;Brazil;Caico;-6.4599655;-37.0936867;54934
369;Brazil;Cabo;-8.2865053;-35.0365913;143105
370;Brazil;Cabedelo;-6.9877215;-34.8287221;54839
371;Brazil;Braganca;-1.0616193;-46.7830109;57163
372;Brazil;Bezerros;-8.2414964;-35.7570657;51436
373;Brazil;Belem;-1.4557549;-48.4901799;1407737
374;Brazil;Bayeux;-7.1315529;-34.9322771;91056
375;Brazil;Balsas;-7.5330309;-46.035885;68056
376;Brazil;Bacabal;-4.2221443;-44.7855844;72372
377;Brazil;Arcoverde;-8.4176445;-37.0585205;57163
378;Brazil;Arapiraca;-9.7555596;-36.6639697;166562
379;Brazil;Araguaina;-7.1927733;-48.204827;105019
380;Brazil;Aquiraz;-3.8996737;-38.389906;65116
381;Brazil;Ananindeua;-1.3642722;-48.374721;433956
382;Brazil;Altamira;-3.1986664;-52.2104006;70888
383;Brazil;Abreu e Lima;-7.9011338;-34.8987034;81959
384;Brazil;Abaetetuba;-1.7221887;-48.8792698;78050
385;Brazil;Votuporanga;-20.4173291;-49.9702752;69863
386;Brazil;Votorantim;-23.540286;-47.4445978;99390
387;Brazil;Volta Redonda;-22.5077674;-44.0946129;249580
388;Brazil;Vitoria da Conquista;-14.8619237;-40.8445346;253137
389;Brazil;Vitoria;-20.2976178;-40.2957768;312656
390;Brazil;Vinhedo;-23.0306726;-46.9837599;56492
391;Brazil;Vila Velha;-20.3477821;-40.2949528;394930
392;Brazil;Vicosa;-20.7548659;-42.8785788;68680
393;Brazil;Viana;-20.3646691;-40.4274631;55122
394;Brazil;Viamao;-30.0824005;-51.0199456;285269
395;Brazil;Vespasiano;-19.688806;-43.9243123;94749
396;Brazil;Varzea Paulista;-23.2140719;-46.8238911;110936
